ScoreType,Runs,isWicket,WicketType,EffectedBy,OutBatsman,isExtra,ExtraType,ExtraSubType,ExtraRuns,NextBowler,NextBatsman,FacingBatsman,POMTeam,POM
BATSMAN,,,,,,,,,,,Team1Player1,,,
BATSMAN,,,,,,,,,,,Team1Player2,,,
FACING,,,,,,,,,,,,Team1Player1,,
BOWLER,I,,,,,,,,,Team2Player8,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,II,,,,,,,,,Team2Player5,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,III,,,,,,,,,,,,,
BALL,0,,,,,TRUE,WIDE,,,,,,,
BALL,0,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,4,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,IV,,,,,,,,,Team2Player9,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,V,,,,,,,,,Team2Player10,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,VI,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,VII,,,,,,,,,Team2Player5,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,VIII,,,,,,,,,Team2Player11,,,,
BALL,0,,,,,TRUE,LEG_BYE,,1,,,,,
BALL,1,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team2Player6,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player3,,,
FACING,,,,,,,,,,,,Team1Player1,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,IX,,,,,,,,,Team2Player4,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BOWLER,X,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,XI,,,,,,,,,Team2Player10,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,XII,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,XIII,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
