ScoreType,Runs,isWicket,WicketType,EffectedBy,OutBatsman,isExtra,ExtraType,ExtraSubType,ExtraRuns,NextBowler,NextBatsman,FacingBatsman,POMTeam,POM
BATSMAN,,,,,,,,,,,Team1Player1,,,
BATSMAN,,,,,,,,,,,Team1Player2,,,
FACING,,,,,,,,,,,,Team1Player1,,
BOWLER,,,,,,,,,,Team2Player11,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player10,,,,
BALL,0,,,,,TRUE,WIDE,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player11,,,,
BALL,0,TRUE,CAUGHT,Team2Player6,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player3,,,
FACING,,,,,,,,,,,,Team1Player3,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player10,,,,
BALL,0,TRUE,RUN_OUT,Team2Player5,Team1Player1,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player4,,,
FACING,,,,,,,,,,,,Team1Player4,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player9,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,TRUE,CAUGHT,Team2Player6,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player5,,,
FACING,,,,,,,,,,,,Team1Player4,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player10,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player9,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player7,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,6,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player8,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player7,,,,
BALL,0,,,,,,,,,,,,,
BALL,,TRUE,CAUGHT,Team2Player5,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player6,,,
FACING,,,,,,,,,,,,Team1Player6,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Team2Player8,,,,
BALL,,TRUE,CAUGHT,Team2Player2,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player7,,,
