ScoreType,Runs,isWicket,WicketType,EffectedBy,OutBatsman,isExtra,ExtraType,ExtraSubType,ExtraRuns,NextBowler,NextBatsman,FacingBatsman,POMTeam,POM
BATSMAN,,,,,,,,,,,Team1Player1,,,
BATSMAN,,,,,,,,,,,Team1Player2,,,
FACING,,,,,,,,,,,,Team1Player1,,
BOWLER,I,,,,,,,,,Team2Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,TRUE,CAUGHT,Team2Player5,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team1Player3,,,
FACING,,,,,,,,,,,,Team1Player2,,
BOWLER,II,,,,,,,,,Team2Player9,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,TRUE,WIDE,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,2,,,,,,,,,,,,,
BOWLER,III,,,,,,,,,Team2Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,IV,,,,,,,,,Team2Player9,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,TRUE,RUN_OUT,Team2Player3,Team1Player3,,,,,,,,,
NEXT_INNINGS,,,,,,,,,,,,,,
BATSMAN,,,,,,,,,,,Team2Player1,,,
BATSMAN,,,,,,,,,,,Team2Player2,,,
FACING,,,,,,,,,,,,Team2Player1,,
BOWLER,I,,,,,,,,,Team1Player10,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,TRUE,WIDE,,,,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,II,,,,,,,,,Team1Player11,,,,
BALL,,,,,,TRUE,WIDE,,,,,,,
BALL,4,,,,,,,,,,,,,
PLAYER_OF_MATCH,,,,,,,,,,,,,Team2SName,Team2Player10
COMPLETE_MATCH,,,,,,,,,,,,,,
